"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"CD45RA","BIDMC_Tonsil_1",0.787927874386052,-0.0333592542944688,51086971603.875,0.386127500031009,0,0,99.9782627238733,99.8003005106484,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"Cytokeratin","BIDMC_Tonsil_1",0.655954729835057,-0.0115672525635164,54933460249,0.415200177424302,0,0,99.9777124130853,99.7706340115425,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"Hoechst","BIDMC_Tonsil_2",0.656516929401022,0.000939059045010349,66752133278.625,0.50452852332819,2.23156568041464e-11,2.23156568041464e-11,99.7700846319294,99.9240571112536,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD3","BIDMC_Tonsil_2",0.694576705716784,0.0441615811484958,78503001434.5,0.593344383845509,0,0,99.8066183761987,99.9463446981683,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD45","BIDMC_Tonsil_2",0.859006492814176,0.0259044751772629,83788220116.5,0.633291325555459,0,0,99.8126615519425,99.9848664533295,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD15","BIDMC_Tonsil_2",0.204339641045608,0.000520744105235171,65004302975.1875,0.49131800557079,1.17335884472026e-37,1.2222487965836e-37,99.4599598403503,99.7325489570235,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD8","BIDMC_Tonsil_2",0.515480369023042,0.0329280398715922,73026426714.6875,0.551951127621767,0,0,99.5863171513568,99.8629726137836,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD11b","BIDMC_Tonsil_2",0.577512182044362,0.0311938874778535,80190451569.75,0.606098533909508,0,0,99.3998027727189,99.8227999262584,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"ToxTox2","BIDMC_Tonsil_2",0.748170900324781,0.0386728248581898,86540756652.25,0.654095652332436,0,0,99.7478347576,99.9295602191337,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD20","BIDMC_Tonsil_2",0.778052033579877,0.0200410038522493,75267101648.875,0.568886682491384,0,0,99.7607451785072,99.9501968736844,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD11c","BIDMC_Tonsil_2",0.678008304638474,0.0433888123162433,83222396236.5,0.629014693894136,0,0,99.6585605704758,99.8957161056707,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"H3K27me3","BIDMC_Tonsil_2",0.822632517327199,0.0115824598186975,73758390842.75,0.557483486851683,0,0,99.7829950528366,99.9832155209655,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"Ki67","BIDMC_Tonsil_2",0.563846582429917,0.03020550528557,73435562890.125,0.555043476289817,0,0,99.7552513823765,99.9336875500439,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"HLADRA","BIDMC_Tonsil_2",0.778908757195365,0.0182369656837305,75003074151.6875,0.566891099777674,0,0,99.827769491302,99.9713838390231,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"pS6","BIDMC_Tonsil_2",0.815445501741515,0.0421698663103098,92027050315.625,0.695562366646625,0,0,99.7670630440575,99.9556999815646,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD68","BIDMC_Tonsil_2",0.641353589467944,0.0219771572988484,84630796497.75,0.639659718542225,0,0,99.8684235826693,99.9617534002328,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"FoxP3","BIDMC_Tonsil_2",0.774959833403193,0.0639835165659082,111928101560.5,0.845979252281508,0,0,99.8835315220287,99.9171782264034,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"PD1","BIDMC_Tonsil_2",0.67123970316731,0.0361874840397443,85374102911.5,0.64527780546904,0,0,99.5420920925045,99.8354570743828,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"Pax5","BIDMC_Tonsil_2",0.788699600347934,0.0140245583993527,71924760511.5625,0.543624472047432,0,0,99.8714451705412,99.9727596159931,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"H3K27ac","BIDMC_Tonsil_2",0.863328852382317,0.0166069317024666,83355063158.875,0.630017422094012,0,0,99.8434268102745,99.9755111699332,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"GranzymeB","BIDMC_Tonsil_2",0.692294816806966,0.0420729097228321,103257536754.25,0.78044505819277,0,0,99.9843426810274,99.9865173856936,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD31","BIDMC_Tonsil_2",0.806542067705483,0.0064999629052046,76184161632.25,0.575818040284614,0,0,99.7983776820026,99.9612030894448,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"IDO1","BIDMC_Tonsil_2",0.795180622642797,0.0388656428766693,107673497030.5,0.813821937819264,0,0,99.9956049630954,99.9975236014539,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD138","BIDMC_Tonsil_2",0.80815178232005,0.0495921360961553,103986353170.5,0.785953626267039,0,0,99.8873771793203,99.9749608591452,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"NAKATPase","BIDMC_Tonsil_2",0.890570783640552,0.0255239419161998,98839989232.5,0.747056181786714,0,0,99.8176059684601,99.9796385008434,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD45RA","BIDMC_Tonsil_2",0.821287128680521,0.0333592542944688,81218993028.8125,0.613872495250288,0,0,99.8003005106484,99.9782627238733,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"Cytokeratin","BIDMC_Tonsil_2",0.667521982398573,0.0115672525635162,77372504283.5,0.584799817099754,0,0,99.7706340115425,99.9777124130853,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"Hoechst","BIDMC_Tonsil_1",0.655577870356012,-0.00093905904501046,65553831628.8125,0.495471474029734,2.23150616087696e-11,2.23150616087696e-11,99.9240571112536,99.7700846319294,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD3","BIDMC_Tonsil_1",0.650415124568288,-0.0441615811484958,53802963458.25,0.406655613401403,0,0,99.9463446981683,99.8066183761987,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD45","BIDMC_Tonsil_1",0.833102017636913,-0.0259044751772629,48517744513.5625,0.366708669705998,0,0,99.9848664533295,99.8126615519425,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD15","BIDMC_Tonsil_1",0.203818896940373,-0.000520744105235088,67301660893.1406,0.508681983933297,1.17359362144152e-37,1.22249335566825e-37,99.7325489570235,99.4599598403503,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD8","BIDMC_Tonsil_1",0.48255232915145,-0.0329280398715921,59279537937.6875,0.448048867808333,0,0,99.8629726137836,99.5863171513568,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD11b","BIDMC_Tonsil_1",0.546318294566509,-0.0311938874778537,52115513399.75,0.393901463917499,0,0,99.8227999262584,99.3998027727189,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"ToxTox2","BIDMC_Tonsil_1",0.709498075466591,-0.0386728248581901,45765208684.1875,0.345904348267972,0,0,99.9295602191337,99.7478347576,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD20","BIDMC_Tonsil_1",0.758011029727628,-0.0200410038522493,57038862987.3125,0.431113312816368,0,0,99.9501968736844,99.7607451785072,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD11c","BIDMC_Tonsil_1",0.634619492322231,-0.0433888123162433,49083568375.5,0.370985301230801,0,0,99.8957161056707,99.6585605704758,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"H3K27me3","BIDMC_Tonsil_1",0.811050057508502,-0.0115824598186971,58547574062.5,0.442516510489707,0,0,99.9832155209655,99.7829950528366,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"Ki67","BIDMC_Tonsil_1",0.533641077144347,-0.0302055052855698,58870401845.625,0.444956519770452,0,0,99.9336875500439,99.7552513823765,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"HLADRA","BIDMC_Tonsil_1",0.760671791511635,-0.0182369656837305,57302890561.0625,0.433108896108755,0,0,99.9713838390231,99.827769491302,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"pS6","BIDMC_Tonsil_1",0.773275635431205,-0.0421698663103098,40278914516.875,0.304437630144903,0,0,99.9556999815646,99.7670630440575,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD68","BIDMC_Tonsil_1",0.619376432169096,-0.0219771572988483,47675168336.625,0.360340278263475,0,0,99.9617534002328,99.8684235826693,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"FoxP3","BIDMC_Tonsil_1",0.710976316837285,-0.0639835165659083,20377863049,0.154020742824533,0,0,99.9171782264034,99.8835315220287,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"PD1","BIDMC_Tonsil_1",0.635052219127565,-0.0361874840397443,46931861670,0.35472218942537,0,0,99.8354570743828,99.5420920925045,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"Pax5","BIDMC_Tonsil_1",0.774675041948581,-0.0140245583993527,60381204211.25,0.456375523915052,0,0,99.9727596159931,99.8714451705412,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"H3K27ac","BIDMC_Tonsil_1",0.84672192067985,-0.016606931702467,48950901569.375,0.36998257390957,0,0,99.9755111699332,99.8434268102745,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"GranzymeB","BIDMC_Tonsil_1",0.650221907084133,-0.0420729097228323,29048428230.5,0.219554939749499,0,0,99.9865173856936,99.9843426810274,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD31","BIDMC_Tonsil_1",0.800042104800278,-0.0064999629052046,56121803112.875,0.424181955846513,0,0,99.9612030894448,99.7983776820026,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"IDO1","BIDMC_Tonsil_1",0.756314979766127,-0.0388656428766695,24632467871.8125,0.186178059499923,0,0,99.9975236014539,99.9956049630954,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD138","BIDMC_Tonsil_1",0.758559646223894,-0.0495921360961556,28319611441.5,0.214046368857898,0,0,99.9749608591452,99.8873771793203,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"NAKATPase","BIDMC_Tonsil_1",0.865046841724352,-0.0255239419161998,33465975307,0.252943812790251,0,0,99.9796385008434,99.8176059684601,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD45RA","BIDMC_Tonsil_1",0.787927874386052,-0.0333592542944688,51086971603.875,0.386127500031009,0,0,99.9782627238733,99.8003005106484,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"Cytokeratin","BIDMC_Tonsil_1",0.655954729835057,-0.0115672525635164,54933460249,0.415200177424302,0,0,99.9777124130853,99.7706340115425,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"Hoechst","BIDMC_Tonsil_2",0.656516929401022,0.000939059045010349,66752133278.625,0.50452852332819,2.23156568041464e-11,2.23156568041464e-11,99.7700846319294,99.9240571112536,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD3","BIDMC_Tonsil_2",0.694576705716784,0.0441615811484958,78503001434.5,0.593344383845509,0,0,99.8066183761987,99.9463446981683,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD45","BIDMC_Tonsil_2",0.859006492814176,0.0259044751772629,83788220116.5,0.633291325555459,0,0,99.8126615519425,99.9848664533295,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD15","BIDMC_Tonsil_2",0.204339641045608,0.000520744105235171,65004302975.1875,0.49131800557079,1.17335884472026e-37,1.2222487965836e-37,99.4599598403503,99.7325489570235,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD8","BIDMC_Tonsil_2",0.515480369023042,0.0329280398715922,73026426714.6875,0.551951127621767,0,0,99.5863171513568,99.8629726137836,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
"CD11b","BIDMC_Tonsil_2",0.577512182044362,0.0311938874778535,80190451569.75,0.606098533909508,0,0,99.3998027727189,99.8227999262584,"BIDMC_Tonsil_1","BIDMC_Tonsil_4"
