"Staining_condition","Marker","CV","Is_Excluded"
"Roche_Slide10_Scan1","CD8",0.75218781722056,FALSE
"Roche_Slide10_Scan1","CD3e",0.533905210292525,FALSE
"Roche_Slide10_Scan1","CD20",0.181033796901585,FALSE
"Roche_Slide10_Scan1","CD34",0.0958698410935926,FALSE
"Roche_Slide10_Scan1","CD45",0.618495558072905,FALSE
"Roche_Slide10_Scan1","CD4",0.136628689899646,FALSE
"Roche_Slide10_Scan1","MHCII",0.225022514562561,FALSE
"Roche_Slide10_Scan1","Iba1",0.176803477058267,FALSE
"Roche_Slide10_Scan1","S100b",5.21298423646193,FALSE
"Roche_Slide10_Scan1","Vimentin",0.198002638435971,FALSE
"Roche_Slide14_Scan1","CD8",0.27911915985105,FALSE
"Roche_Slide14_Scan1","CD3e",0.0912177631132374,FALSE
"Roche_Slide14_Scan1","CD20",0.100101805895955,FALSE
"Roche_Slide14_Scan1","CD34",0.0423559974716344,FALSE
"Roche_Slide14_Scan1","CD45",0.193676605486932,FALSE
"Roche_Slide14_Scan1","CD4",0.0334900979248064,FALSE
"Roche_Slide14_Scan1","MHCII",0.150095546103339,FALSE
"Roche_Slide14_Scan1","Iba1",0.139995101518497,FALSE
"Roche_Slide14_Scan1","S100b",1.56428533057849,FALSE
"Roche_Slide14_Scan1","Vimentin",0.146682319242854,FALSE
"Roche_Slide18_Scan1","CD8",0.25808997695857,FALSE
"Roche_Slide18_Scan1","CD3e",0.128627378126946,FALSE
"Roche_Slide18_Scan1","CD20",0.0729955320421532,FALSE
"Roche_Slide18_Scan1","CD34",0.0836328656004538,FALSE
"Roche_Slide18_Scan1","CD45",0.254689228526542,FALSE
"Roche_Slide18_Scan1","CD4",0.0974612408238494,FALSE
"Roche_Slide18_Scan1","MHCII",0.286750015507001,FALSE
"Roche_Slide18_Scan1","Iba1",0.203200380997287,FALSE
"Roche_Slide18_Scan1","S100b",1.19524734712772,FALSE
"Roche_Slide18_Scan1","Vimentin",0.196169875171953,FALSE
"Roche_Slide22_Scan1","CD8",0.186050982876511,FALSE
"Roche_Slide22_Scan1","CD3e",0.0802466400292138,FALSE
"Roche_Slide22_Scan1","CD20",0.316651870677882,FALSE
"Roche_Slide22_Scan1","CD34",0.0601015916317539,FALSE
"Roche_Slide22_Scan1","CD45",0.275012261802128,FALSE
"Roche_Slide22_Scan1","CD4",0.059731150355771,FALSE
"Roche_Slide22_Scan1","MHCII",0.238858908734188,FALSE
"Roche_Slide22_Scan1","Iba1",0.144304289563253,FALSE
"Roche_Slide22_Scan1","S100b",2.12387264268465,FALSE
"Roche_Slide22_Scan1","Vimentin",0.113349859873523,FALSE
"Roche_Slide2_Scan1","CD8",0.722223432173324,FALSE
"Roche_Slide2_Scan1","CD3e",0.375634540182736,FALSE
"Roche_Slide2_Scan1","CD20",1.25741982654373,FALSE
"Roche_Slide2_Scan1","CD34",0.178619356292475,FALSE
"Roche_Slide2_Scan1","CD45",0.521555430677184,FALSE
"Roche_Slide2_Scan1","CD4",0.0786001508156492,FALSE
"Roche_Slide2_Scan1","MHCII",0.244685536977934,FALSE
"Roche_Slide2_Scan1","Iba1",0.155641818807251,FALSE
"Roche_Slide2_Scan1","S100b",2.5397138197578,FALSE
"Roche_Slide2_Scan1","Vimentin",0.126746886825697,FALSE
"Roche_Slide6_Scan1","CD8",0.614058714702646,FALSE
"Roche_Slide6_Scan1","CD3e",0.313559355537916,FALSE
"Roche_Slide6_Scan1","CD20",1.24919535515105,FALSE
"Roche_Slide6_Scan1","CD34",0.0854074424211266,FALSE
"Roche_Slide6_Scan1","CD45",0.311163643570125,FALSE
"Roche_Slide6_Scan1","CD4",0.0499736416020117,FALSE
"Roche_Slide6_Scan1","MHCII",0.149954922526204,FALSE
"Roche_Slide6_Scan1","Iba1",0.15789641987617,FALSE
"Roche_Slide6_Scan1","S100b",1.38319982165393,FALSE
"Roche_Slide6_Scan1","Vimentin",0.152161113554032,FALSE
